TS	2/4	
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 71, 72, 71, 69, 72]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 71, 72, 71, 69, 65]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 71, 72, 71, 69, 72]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 71, 72, 71, 69, 64]
Bar	[0.25, 0.5, 0.75, 1.0, 1.5]	[64, 63, 64, 71, 69]
Bar	[0.0, 0.25, 0.5]	[69, 68, 71]
Bar	[0.25, 0.5, 0.75, 1.0, 1.5]	[62, 61, 62, 67, 65]
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[64, 64, 63, 64, 65, 64, 68, 65]
Grp	0.0	
Bar	[0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[64, 69, 71, 72, 71, 69, 72]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 71, 72, 71, 69, 65]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 71, 72, 71, 69, 72]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5]	[69, 71, 72, 71, 69, 64]
Bar	[0.25, 0.5, 0.75, 1.0, 1.5]	[64, 63, 64, 71, 69]
Bar	[0.0, 0.25, 0.5]	[69, 68, 71]
Bar	[0.25, 0.5, 0.75, 1.0, 1.75]	[59, 60, 62, 64, 64]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.75]	[72, 71, 74, 72, 71, 69]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[68, 65, 64, 62, 60, 59]
Grp	0.0	
Bar	[0.0]	[64]
Bar	[0.5, 0.75, 1.0, 1.5]	[65, 64, 67, 65]
Bar	[0.0, 1.0]	[65, 64]
Bar	[0.5, 1.0, 1.25, 1.5, 1.75]	[64, 66, 68, 69, 71]
Bar	[0.0, 1.0]	[72, 72]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 74, 72, 74, 72, 74, 72]
Bar	[0.0, 1.0]	[72, 71]
Bar	[0.0]	[74]
Grp	0.0	
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[72, 72, 71, 71, 69, 67, 65]
Bar	[0.0]	[69]
Bar	[0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75]	[67, 67, 65, 65, 64, 62, 60]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[64, 59, 62, 65, 59, 62]
Bar	[0.0, 0.5, 0.75, 1.0, 1.5, 1.75]	[64, 59, 62, 65, 59, 62]
Bar	[0.0, 0.5, 0.75, 1.0, 1.3333333333333357, 1.6666666666666643]	[64, 57, 60, 65, 69, 68]
Bar	[0.0]	[64]
Bar	[0.0, 1.0, 1.5]	[64, 59, 62]
Bar	[0.0, 1.0]	[64, 68]
Bar	[0.0]	[69]
Bar	[0.0]	[69]
