TS;4/4;;
Bar;;[3.0, 3.5];[69, 74]
Grp;0.0;;
Bar;0;[0.0];[74]
Bar;;[0.0];[74]
Bar;;[0.0];[74]
Bar;;[3.0, 3.5];[72, 74]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0];[75, 77, 72]
Bar;;[0.0];[72]
Bar;;[0.0];[72]
Bar;;[3.0, 3.5];[69, 74]
Bar;;[3.0, 3.5];[72, 77]
Grp;0.0;;
Bar;0;[0.0];[77]
Bar;;[0.0];[77]
Bar;;[0.0];[77]
Bar;0;[3.0, 3.5];[75, 76]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0];[76, 78, 73]
Bar;;[0.0];[73]
Bar;;[0.0];[73]
Bar;;[3.0, 3.5];[69, 74]
Grp;0.0;;
Bar;0;[0.0];[74]
Bar;;[0.0];[74]
Bar;;[0.0];[74]
Bar;;[3.0, 3.5];[72, 74]
Grp;0.0;;
Bar;0;[0.0, 0.5, 1.0];[75, 77, 72]
Bar;;[0.0];[72]
Bar;;[0.0];[72]
Bar;;[];[]
Bar;0;[];[]
